,time,id,class,region1x,region1y,region2x,region2y
0,3,1,bus,344,473,720,799
1,3,2,car,892,579,1022,682
2,4,1,bus,351,474,723,797
3,4,2,car,893,577,1020,678
4,5,1,bus,354,472,728,797
5,5,2,car,896,578,1016,673
6,6,1,bus,362,474,729,793
7,6,2,car,894,579,1011,670
8,7,1,bus,366,474,728,789
9,7,2,car,911,576,1023,663
10,8,1,bus,373,476,734,791
11,8,2,car,931,576,1039,658
12,9,1,bus,382,479,734,786
13,9,2,car,949,576,1054,655
14,10,1,bus,389,481,738,785
15,10,2,car,969,575,1072,651
16,11,1,bus,396,482,741,784
17,11,2,car,988,575,1088,647
18,12,1,bus,404,483,741,778
19,12,2,car,1005,574,1103,644
20,13,1,bus,408,484,741,775
21,13,2,car,1019,572,1119,643
22,14,1,bus,412,481,743,772
23,14,2,car,1034,572,1130,640
24,15,1,bus,419,484,743,769
25,15,2,car,1046,572,1140,637
26,16,1,bus,424,484,744,766
27,16,2,car,1057,571,1151,636
28,17,1,bus,427,485,744,764
29,17,2,car,1065,571,1157,635
30,18,1,bus,434,485,749,763
31,18,2,car,1066,571,1152,630
32,19,1,bus,438,485,753,763
33,19,2,car,1063,570,1148,629
34,20,1,bus,440,486,755,763
35,20,2,car,1059,569,1143,627
36,21,1,bus,443,487,752,758
37,21,2,car,1056,570,1137,626
38,22,1,bus,447,488,753,755
39,22,2,car,1053,569,1132,623
40,23,1,bus,449,488,755,755
41,23,2,car,1051,567,1129,621
42,24,1,bus,455,487,760,755
43,24,2,car,1049,567,1124,619
44,25,1,bus,457,486,763,755
45,25,2,car,1047,567,1120,617
46,26,1,bus,463,486,764,752
47,26,2,car,1047,567,1117,616
48,27,1,bus,464,485,766,754
49,27,2,car,1046,567,1115,614
50,28,1,bus,469,484,770,754
51,28,2,car,1043,566,1112,614
52,29,1,bus,475,485,773,754
53,29,2,car,1040,566,1109,613
54,29,8,truck,482,485,767,754
55,30,1,bus,481,484,776,753
56,30,2,car,1038,563,1108,611
57,30,8,truck,486,484,770,754
58,31,1,bus,485,484,779,752
59,31,2,car,1038,563,1107,609
60,31,8,truck,493,484,772,750
61,32,2,car,1039,562,1105,607
62,32,8,truck,497,486,773,748
63,33,2,car,1034,563,1100,608
64,33,8,truck,502,489,775,749
65,34,2,car,1032,563,1098,608
66,34,8,truck,506,489,778,749
67,35,1,bus,507,489,786,746
68,35,2,car,1032,563,1097,607
69,35,8,truck,512,490,780,746
70,36,1,bus,512,487,788,744
71,36,2,car,1031,562,1094,605
72,36,8,truck,517,488,783,744
73,37,1,bus,516,488,790,743
74,37,2,car,1031,562,1092,604
75,37,8,truck,521,488,783,741
76,38,1,bus,521,488,788,738
77,38,2,car,1030,561,1090,602
78,38,8,truck,525,488,784,738
79,39,1,bus,523,487,788,738
80,39,2,car,1030,560,1086,599
81,39,8,truck,526,487,785,738
82,40,1,bus,525,487,789,739
83,40,2,car,1029,559,1084,597
84,40,8,truck,528,487,786,739
85,41,1,bus,529,487,791,738
86,41,8,truck,533,488,786,737
87,42,1,bus,529,486,790,739
88,42,2,car,1026,560,1079,595
89,42,8,truck,532,486,787,738
90,43,1,bus,533,488,789,737
91,43,2,car,1024,560,1076,595
92,43,8,truck,535,488,787,737
93,44,1,bus,536,488,791,736
94,44,2,car,1023,560,1074,594
95,44,8,truck,538,490,785,736
96,45,2,car,1021,559,1072,593
97,45,8,truck,540,491,786,735
98,46,2,car,1019,559,1070,593
99,46,8,truck,544,493,784,733
100,47,2,car,1018,559,1070,593
101,47,8,truck,547,493,787,734
102,48,2,car,1017,558,1068,592
103,48,8,truck,549,492,788,732
104,49,2,car,1013,558,1067,593
105,49,8,truck,552,493,786,729
106,50,2,car,1013,557,1065,592
107,50,8,truck,555,494,785,725
108,51,2,car,1012,557,1064,591
109,51,8,truck,558,496,786,724
110,52,2,car,1011,558,1061,591
111,52,8,truck,559,495,785,720
112,53,2,car,1010,558,1060,591
113,53,8,truck,559,494,785,721
114,54,2,car,1010,556,1060,590
115,54,8,truck,562,495,787,719
116,55,2,car,1009,556,1058,589
117,55,8,truck,563,495,788,720
118,56,1,bus,576,507,788,711
119,56,8,truck,565,495,790,720
120,57,1,bus,579,508,788,709
121,57,2,car,1005,555,1053,588
122,57,8,truck,569,497,792,719
123,58,2,car,1004,554,1052,588
124,58,8,truck,571,497,792,716
125,59,1,bus,575,498,799,713
126,59,8,truck,576,497,796,715
127,60,1,bus,584,510,793,705
128,60,8,truck,577,498,794,713
129,61,1,bus,590,514,791,699
130,61,8,truck,580,500,795,712
131,62,1,bus,587,507,797,702
132,62,8,truck,585,500,798,710
133,63,1,bus,590,508,798,701
134,63,8,truck,590,501,803,711
135,64,1,bus,589,504,801,702
136,64,8,truck,591,499,804,709
137,65,1,bus,592,504,804,702
138,65,8,truck,594,499,806,708
139,66,1,bus,593,503,806,703
140,67,1,bus,596,503,808,702
141,67,8,truck,600,500,811,707
142,68,1,bus,601,504,808,700
143,68,8,truck,605,503,807,702
144,69,1,bus,603,504,809,699
145,69,8,truck,608,504,808,700
146,70,1,bus,606,505,810,698
147,70,8,truck,610,504,808,698
148,71,1,bus,609,505,811,697
149,71,8,truck,615,504,811,696
150,72,8,truck,616,505,812,697
151,73,8,truck,617,506,813,697
152,74,8,truck,618,505,813,696
153,75,8,truck,619,506,813,695
154,76,1,bus,610,500,824,706
155,76,8,truck,620,507,813,696
156,77,1,bus,616,503,819,700
157,77,8,truck,620,506,814,696
158,78,1,bus,619,505,817,697
159,78,8,truck,622,506,814,695
160,79,1,bus,621,505,818,696
161,79,8,truck,622,507,813,695
162,80,8,truck,623,505,812,693
163,81,1,bus,625,505,817,693
164,81,8,truck,625,505,814,692
165,82,1,bus,626,505,818,692
166,82,8,truck,628,504,816,692
167,83,8,truck,631,506,815,690
168,84,1,bus,629,505,816,690
169,84,8,truck,631,506,814,689
170,85,1,bus,631,506,817,689
171,85,8,truck,634,507,814,687
172,86,1,bus,632,506,815,687
173,86,8,truck,634,507,813,686
174,87,1,bus,633,507,815,686
175,87,8,truck,635,507,813,686
176,88,1,bus,636,507,816,686
177,88,8,truck,637,507,815,686
178,89,1,bus,638,506,817,685
179,89,8,truck,639,506,816,685
180,90,1,bus,640,506,817,684
181,90,8,truck,642,506,817,683
182,91,1,bus,643,506,818,683
183,91,8,truck,643,506,817,683
184,92,1,bus,645,507,818,682
185,92,8,truck,645,506,818,682
186,93,8,truck,648,506,819,681
187,94,8,truck,650,506,819,679
188,95,8,truck,656,506,823,677
189,96,8,truck,659,507,824,676
190,97,8,truck,660,507,826,676
191,98,8,truck,663,508,826,675
192,99,8,truck,665,508,827,674
193,100,8,truck,667,508,829,674
